name,link,sum_min,sum_max,firm,adress,site
Data Scientist,https://hh.ru/vacancy/47784212?from=vacancy_search_list&query=data,0,0,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),Екатеринбург,hh.ru
Senior Data Scientist (в Нижний Новгород),https://hh.ru/vacancy/47588029?from=vacancy_search_list&query=data,160000,240000,ООО Займиго МФК,Екатеринбург,hh.ru
Ведущий Data Engineer,https://hh.ru/vacancy/47284651?from=vacancy_search_list&query=data,0,0,Ozon Express,Екатеринбург,hh.ru
Data Engineer,https://hh.ru/vacancy/47768750?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data Scientist,https://hh.ru/vacancy/47683316?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Python разработчик,https://hh.ru/vacancy/47561856?from=vacancy_search_list&query=data,0,290000,Точка,Екатеринбург,hh.ru
Data Engineer (аналитик данных),https://hh.ru/vacancy/47041501?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data Scientist,https://hh.ru/vacancy/47377173?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data Scientist (Отдел планирования и развития),https://hh.ru/vacancy/47313004?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,"Екатеринбург, Геологическая",hh.ru
Data Scientist,https://hh.ru/vacancy/47546374?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data engineer,https://hh.ru/vacancy/47545228?from=vacancy_search_list&query=data,0,0,Сбер для экспертов,Екатеринбург,hh.ru
Data Engineer,https://hh.ru/vacancy/46833361?from=vacancy_search_list&query=data,0,0,Playrix,Екатеринбург,hh.ru
Data engineer (DWH),https://hh.ru/vacancy/46821768?from=vacancy_search_list&query=data,0,0,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),Екатеринбург,hh.ru
Senior Data Engineer,https://hh.ru/vacancy/46833410?from=vacancy_search_list&query=data,0,0,Playrix,Екатеринбург,hh.ru
"Ведущий аналитик Data scientist (удалённо), Ozon Express",https://hh.ru/vacancy/44157503?from=vacancy_search_list&query=data,0,0,Ozon Express,Екатеринбург,hh.ru
Data Engineer (Integration Team),https://hh.ru/vacancy/47282531?from=vacancy_search_list&query=data,3500,0,Exness,Екатеринбург,hh.ru
Ведущий аналитик Data Scientist,https://hh.ru/vacancy/47382167?from=vacancy_search_list&query=data,0,0,Ozon Express,Екатеринбург,hh.ru
